DATE,BAMLC0A3CA
1997-01-01,0.58000000000000000000
1997-02-01,0.56263157894736842105
1997-03-01,0.53150000000000000000
1997-04-01,0.55545454545454545455
1997-05-01,0.56181818181818181818
1997-06-01,0.54857142857142857143
1997-07-01,0.54318181818181818182
1997-08-01,0.54818181818181818182
1997-09-01,0.56142857142857142857
1997-10-01,0.53521739130434782609
1997-11-01,0.68952380952380952381
1997-12-01,0.73863636363636363636
1998-01-01,0.68772727272727272727
1998-02-01,0.71666666666666666667
1998-03-01,0.68045454545454545455
1998-04-01,0.67142857142857142857
1998-05-01,0.64681818181818181818
1998-06-01,0.65954545454545454545
1998-07-01,0.74652173913043478261
1998-08-01,0.77761904761904761905
1998-09-01,1.1363636363636364
1998-10-01,1.2839130434782609
1998-11-01,1.2642857142857143
1998-12-01,1.0536363636363636
1999-01-01,1.00857142857142857143
1999-02-01,0.97761904761904761905
1999-03-01,0.90086956521739130435
1999-04-01,0.88636363636363636364
1999-05-01,0.90095238095238095238
1999-06-01,0.96500000000000000000
1999-07-01,1.00565217391304347826
1999-08-01,1.1109090909090909
1999-09-01,1.1495454545454545
1999-10-01,1.0850000000000000
1999-11-01,1.0854545454545455
1999-12-01,1.03869565217391304348
2000-01-01,1.03428571428571428571
2000-02-01,1.0795238095238095
2000-03-01,1.1869565217391304
2000-04-01,1.3355000000000000
2000-05-01,1.4613043478260870
2000-06-01,1.5395454545454545
2000-07-01,1.5342857142857143
2000-08-01,1.5356521739130435
2000-09-01,1.5354545454545455
2000-10-01,1.5677272727272727
2000-11-01,1.6750000000000000
2000-12-01,1.7952380952380952
2001-01-01,1.7763636363636364
2001-02-01,1.6270000000000000
2001-03-01,1.6247826086956522
2001-04-01,1.5730000000000000
2001-05-01,1.4108695652173913
2001-06-01,1.3704545454545455
2001-07-01,1.3418181818181818
2001-08-01,1.3091304347826087
2001-09-01,1.5638888888888889
2001-10-01,1.6726086956521739
2001-11-01,1.6150000000000000
2001-12-01,1.4670000000000000
2002-01-01,1.4386363636363636
2002-02-01,1.5155000000000000
2002-03-01,1.3314285714285714
2002-04-01,1.2909090909090909
2002-05-01,1.2834782608695652
2002-06-01,1.2885714285714286
2002-07-01,1.4760869565217391
2002-08-01,1.7073913043478261
2002-09-01,1.6895238095238095
2002-10-01,1.9126086956521739
2002-11-01,1.5377272727272727
2002-12-01,1.3642857142857143
2003-01-01,1.2477272727272727
2003-02-01,1.1765000000000000
2003-03-01,1.0995238095238095
2003-04-01,1.00761904761904761905
2003-05-01,0.87304347826086956522
2003-06-01,0.83190476190476190476
2003-07-01,0.79391304347826086957
2003-08-01,0.81727272727272727273
2003-09-01,0.78772727272727272727
2003-10-01,0.74217391304347826087
2003-11-01,0.71428571428571428571
2003-12-01,0.68909090909090909091
2004-01-01,0.67090909090909090909
2004-02-01,0.68190476190476190476
2004-03-01,0.68304347826086956522
2004-04-01,0.67476190476190476190
2004-05-01,0.72523809523809523810
2004-06-01,0.74909090909090909091
2004-07-01,0.75000000000000000000
2004-08-01,0.75363636363636363636
2004-09-01,0.71954545454545454545
2004-10-01,0.71000000000000000000
2004-11-01,0.68272727272727272727
2004-12-01,0.65000000000000000000
2005-01-01,0.67714285714285714286
2005-02-01,0.66800000000000000000
2005-03-01,0.66090909090909090909
2005-04-01,0.74227272727272727273
2005-05-01,0.79681818181818181818
2005-06-01,0.79863636363636363636
2005-07-01,0.76045454545454545455
2005-08-01,0.73391304347826086957
2005-09-01,0.75000000000000000000
2005-10-01,0.76095238095238095238
2005-11-01,0.78545454545454545455
2005-12-01,0.82954545454545454545
2006-01-01,0.84000000000000000000
2006-02-01,0.82100000000000000000
2006-03-01,0.81260869565217391304
2006-04-01,0.82450000000000000000
2006-05-01,0.82173913043478260870
2006-06-01,0.87590909090909090909
2006-07-01,0.90095238095238095238
2006-08-01,0.89652173913043478261
2006-09-01,0.88863636363636363636
2006-10-01,0.87227272727272727273
2006-11-01,0.85181818181818181818
2006-12-01,0.84238095238095238095
2007-01-01,0.82363636363636363636
2007-02-01,0.80550000000000000000
2007-03-01,0.85391304347826086957
2007-04-01,0.87300000000000000000
2007-05-01,0.88000000000000000000
2007-06-01,0.91136363636363636364
2007-07-01,1.02409090909090909091
2007-08-01,1.3291304347826087
2007-09-01,1.4752380952380952
2007-10-01,1.3800000000000000
2007-11-01,1.6981818181818182
2007-12-01,1.9605000000000000
2008-01-01,2.1463636363636364
2008-02-01,2.3261904761904762
2008-03-01,2.8505000000000000
2008-04-01,2.7690909090909091
2008-05-01,2.5169565217391304
2008-06-01,2.5942857142857143
2008-07-01,3.0217391304347826
2008-08-01,3.2104545454545455
2008-09-01,4.1659090909090909
2008-10-01,6.0056521739130435
2008-11-01,6.1042857142857143
2008-12-01,6.2586363636363636
2009-01-01,5.1763636363636364
2009-02-01,4.9295238095238095
2009-03-01,5.5318181818181818
2009-04-01,5.0628571428571429
2009-05-01,3.9100000000000000
2009-06-01,3.0245454545454545
2009-07-01,2.7321739130434783
2009-08-01,2.2376190476190476
2009-09-01,2.1022727272727273
2009-10-01,2.0008695652173913
2009-11-01,1.8995238095238095
2009-12-01,1.8118181818181818
2010-01-01,1.6066666666666667
2010-02-01,1.7233333333333333
2010-03-01,1.5843478260869565
2010-04-01,1.4271428571428571
2010-05-01,1.7180952380952381
2010-06-01,1.8990909090909091
2010-07-01,1.7895652173913043
2010-08-01,1.7181818181818182
2010-09-01,1.6904545454545455
2010-10-01,1.6431818181818182
2010-11-01,1.6136363636363636
2010-12-01,1.5669565217391304
2011-01-01,1.4709523809523810
2011-02-01,1.3610000000000000
2011-03-01,1.3595652173913043
2011-04-01,1.3185714285714286
2011-05-01,1.3500000000000000
2011-06-01,1.5009090909090909
2011-07-01,1.5077272727272727
2011-08-01,1.9165217391304348
2011-09-01,2.2072727272727273
2011-10-01,2.3266666666666667
2011-11-01,2.3159090909090909
2011-12-01,2.4677272727272727
2012-01-01,2.1857142857142857
2012-02-01,1.8880952380952381
2012-03-01,1.7330434782608696
2012-04-01,1.7615000000000000
2012-05-01,1.8991304347826087
2012-06-01,1.9540909090909091
2012-07-01,1.7281818181818182
2012-08-01,1.5443478260869565
2012-09-01,1.4042857142857143
2012-10-01,1.2309090909090909
2012-11-01,1.2504545454545455
2012-12-01,1.2450000000000000
2013-01-01,1.1486363636363636
2013-02-01,1.1505000000000000
2013-03-01,1.1471428571428571
2013-04-01,1.1677272727272727
2013-05-01,1.1217391304347826
2013-06-01,1.2628571428571429
2013-07-01,1.2334782608695652
2013-08-01,1.1814285714285714
2013-09-01,1.1895238095238095
2013-10-01,1.1300000000000000
2013-11-01,1.0863636363636364
2013-12-01,1.00238095238095238095
2014-01-01,0.92363636363636363636
2014-02-01,0.93200000000000000000
2014-03-01,0.89476190476190476190
2014-04-01,0.85238095238095238095
2014-05-01,0.85478260869565217391
2014-06-01,0.83619047619047619048
2014-07-01,0.83173913043478260870
2014-08-01,0.86000000000000000000
2014-09-01,0.88181818181818181818
2014-10-01,0.96739130434782608696
2014-11-01,1.01714285714285714286
2014-12-01,1.0654545454545455
2015-01-01,1.1071428571428571
2015-02-01,1.04714285714285714286
2015-03-01,1.01772727272727272727
2015-04-01,1.03095238095238095238
2015-05-01,1.03619047619047619048
2015-06-01,1.1118181818181818
2015-07-01,1.1821739130434783
2015-08-01,1.2661904761904762
2015-09-01,1.2890909090909091
2015-10-01,1.3004347826086957
2015-11-01,1.2038095238095238
2015-12-01,1.2322727272727273
2016-01-01,1.3628571428571429
2016-02-01,1.5890476190476190
2016-03-01,1.3845454545454545
2016-04-01,1.2454545454545455
2016-05-01,1.1963636363636364
2016-06-01,1.2295454545454545
2016-07-01,1.1940909090909091
2016-08-01,1.1256521739130435
2016-09-01,1.1209090909090909
2016-10-01,1.0976190476190476
2016-11-01,1.0854545454545455
2016-12-01,1.0468181818181818
2017-01-01,1.03523809523809523810
2017-02-01,1.01150000000000000000
2017-03-01,0.97913043478260869565
2017-04-01,1.00050000000000000000
2017-05-01,0.95956521739130434783
2017-06-01,0.94272727272727272727
2017-07-01,0.87666666666666666667
2017-08-01,0.89043478260869565217
2017-09-01,0.89227272727272727273
2017-10-01,0.80000000000000000000
2017-11-01,0.81272727272727272727
2017-12-01,0.77666666666666666667
2018-01-01,0.73954545454545454545
2018-02-01,0.77150000000000000000
2018-03-01,0.89227272727272727273
2018-04-01,0.90952380952380952381
2018-05-01,0.92608695652173913043
2018-06-01,0.99863636363636363636
2018-07-01,0.99181818181818181818
2018-08-01,0.93478260869565217391
2018-09-01,0.91904761904761904762
2018-10-01,0.92826086956521739130
2018-11-01,1.0540909090909091
2018-12-01,1.1895000000000000
2019-01-01,1.1609090909090909
