,DATE,CCI
0,1970-01-01,101.5096
1,1970-01-02,101.2555
2,1970-01-03,101.036
3,1970-01-04,100.9149
4,1970-01-05,100.9454
5,1970-01-06,101.03200000000001
6,1970-01-07,101.0503
7,1970-01-08,100.912
8,1970-01-09,100.6978
9,1970-01-10,100.5198
10,1970-01-11,100.4621
11,1970-01-12,100.4829
12,1970-01-13,100.5308
13,1970-01-14,100.5818
14,1970-01-15,100.6497
15,1970-01-16,100.7698
16,1970-01-17,100.9658
17,1970-01-18,101.1647
18,1970-01-19,101.2602
19,1970-01-20,101.1731
20,1970-01-21,101.0149
21,1970-01-22,100.9356
22,1970-01-23,101.0411
23,1970-01-24,101.23299999999999
24,1970-01-25,101.37
25,1970-01-26,101.3431
26,1970-01-27,101.2059
27,1970-01-28,101.027
28,1970-01-29,100.8535
29,1970-01-30,100.7151
30,1970-01-31,100.6509
31,1970-02-01,100.7004
32,1970-02-02,100.821
33,1970-02-03,100.9697
34,1970-02-04,101.11399999999999
35,1970-02-05,101.2154
36,1970-02-06,101.2164
37,1970-02-07,101.0706
38,1970-02-08,100.8736
39,1970-02-09,100.7491
40,1970-02-10,100.7869
41,1970-02-11,100.90799999999999
42,1970-02-12,101.0082
43,1970-02-13,101.0196
44,1970-02-14,100.992
45,1970-02-15,101.0041
46,1970-02-16,101.1137
47,1970-02-17,101.2684
48,1970-02-18,101.3931
49,1970-02-19,101.4331
50,1970-02-20,101.4263
51,1970-02-21,101.4251
52,1970-02-22,101.4643
53,1970-02-23,101.5234
54,1970-02-24,101.5685
55,1970-02-25,101.5753
56,1970-02-26,101.5645
57,1970-02-27,101.5682
58,1970-02-28,101.6139
59,1970-03-01,101.6929
60,1970-03-02,101.79700000000001
61,1970-03-03,101.9198
62,1970-03-04,102.0343
63,1970-03-05,102.1021
64,1970-03-06,102.0898
65,1970-03-07,102.0333
66,1970-03-08,101.9728
67,1970-03-09,101.9315
68,1970-03-10,101.8988
69,1970-03-11,101.8523
70,1970-03-12,101.7711
71,1970-03-13,101.663
72,1970-03-14,101.5333
73,1970-03-15,101.3808
74,1970-03-16,101.215
75,1970-03-17,101.0423
76,1970-03-18,100.8651
77,1970-03-19,100.6885
78,1970-03-20,100.5229
79,1970-03-21,100.3861
80,1970-03-22,100.2956
81,1970-03-23,100.2921
82,1970-03-24,100.4184
83,1970-03-25,100.6103
84,1970-03-26,100.7954
85,1970-03-27,100.9247
86,1970-03-28,101.0133
87,1970-03-29,101.0796
88,1970-03-30,101.1273
89,1970-03-31,101.1485
90,1970-04-01,101.1183
91,1970-04-02,101.0165
92,1970-04-03,100.9004
93,1970-04-04,100.8477
94,1970-04-05,100.9141
95,1970-04-06,101.0266
96,1970-04-07,101.0847
97,1970-04-08,101.0132
98,1970-04-09,100.8714
99,1970-04-10,100.7385
100,1970-04-11,100.6697
101,1970-04-12,100.6427
102,1970-04-13,100.6273
103,1970-04-14,100.6119
104,1970-04-15,100.619
105,1970-04-16,100.6935
106,1970-04-17,100.8684
107,1970-04-18,101.0636
108,1970-04-19,101.1621
109,1970-04-20,101.0667
110,1970-04-21,100.8533
111,1970-04-22,100.6069
112,1970-04-23,100.3753
113,1970-04-24,100.1561
114,1970-04-25,99.93136
115,1970-04-26,99.68898
116,1970-04-27,99.45002
117,1970-04-28,99.25171999999999
118,1970-04-29,99.12706999999999
119,1970-04-30,99.04373000000001
120,1970-05-01,98.96672
121,1970-05-02,98.87980999999999
122,1970-05-03,98.80058000000001
123,1970-05-04,98.76284
124,1970-05-05,98.79128
125,1970-05-06,98.83471
126,1970-05-07,98.82278000000001
127,1970-05-08,98.70772
128,1970-05-09,98.56145
129,1970-05-10,98.48933000000001
130,1970-05-11,98.5751
131,1970-05-12,98.75166
132,1970-05-13,98.93597
133,1970-05-14,99.07328000000001
134,1970-05-15,99.17331999999999
135,1970-05-16,99.25444
136,1970-05-17,99.32478
137,1970-05-18,99.38248
138,1970-05-19,99.41894
139,1970-05-20,99.43460999999999
140,1970-05-21,99.47616
141,1970-05-22,99.61688000000001
142,1970-05-23,99.9113
143,1970-05-24,100.2505
144,1970-05-25,100.4861
145,1970-05-26,100.5087
146,1970-05-27,100.4307
147,1970-05-28,100.4012
148,1970-05-29,100.5211
149,1970-05-30,100.7101
150,1970-05-31,100.8425
151,1970-06-01,100.8137
152,1970-06-02,100.6631
153,1970-06-03,100.4289
154,1970-06-04,100.1244
155,1970-06-05,99.7979
156,1970-06-06,99.49648
157,1970-06-07,99.25196
158,1970-06-08,99.0416
159,1970-06-09,98.84283
160,1970-06-10,98.65404000000001
161,1970-06-11,98.5035
162,1970-06-12,98.44469000000001
163,1970-06-13,98.5132
164,1970-06-14,98.59200000000001
165,1970-06-15,98.51713000000001
166,1970-06-16,98.17309
167,1970-06-17,97.74197
168,1970-06-18,97.4784
169,1970-06-19,97.57148000000001
170,1970-06-20,97.83929
171,1970-06-21,98.03457
172,1970-06-22,97.97565999999999
173,1970-06-23,97.75001999999999
174,1970-06-24,97.47499
175,1970-06-25,97.22535
176,1970-06-26,97.01021
177,1970-06-27,96.83299
178,1970-06-28,96.71686
179,1970-06-29,96.6922
180,1970-06-30,96.83923
181,1970-07-01,97.23907
182,1970-07-02,97.75319
183,1970-07-03,98.21203
184,1970-07-04,98.48931
185,1970-07-05,98.63171
186,1970-07-06,98.69383
187,1970-07-07,98.70809
188,1970-07-08,98.73486
189,1970-07-09,98.84436
190,1970-07-10,99.08596
191,1970-07-11,99.37486
192,1970-07-12,99.59893000000001
193,1970-07-13,99.6782
194,1970-07-14,99.68928000000001
195,1970-07-15,99.73572
196,1970-07-16,99.88663000000001
197,1970-07-17,100.0799
198,1970-07-18,100.219
199,1970-07-19,100.2278
200,1970-07-20,100.1586
201,1970-07-21,100.0796
202,1970-07-22,100.039
203,1970-07-23,100.0397
204,1970-07-24,100.0837
205,1970-07-25,100.1751
206,1970-07-26,100.2803
207,1970-07-27,100.3565
208,1970-07-28,100.3664
209,1970-07-29,100.3221
210,1970-07-30,100.2289
211,1970-07-31,100.0829
212,1970-08-01,99.91779
213,1970-08-02,99.77286
214,1970-08-03,99.67995
215,1970-08-04,99.63031
216,1970-08-05,99.59777
217,1970-08-06,99.51876
218,1970-08-07,99.3829
219,1970-08-08,99.38165
220,1970-08-09,99.40549
221,1970-08-10,99.37021
222,1970-08-11,99.34421999999999
223,1970-08-12,99.24691999999999
224,1970-08-13,99.15342
225,1970-08-14,98.92734
226,1970-08-15,98.54653
227,1970-08-16,98.20145
228,1970-08-17,98.17648
229,1970-08-18,98.16139
230,1970-08-19,97.97310999999999
231,1970-08-20,97.77988
232,1970-08-21,97.6508
233,1970-08-22,97.47028
234,1970-08-23,97.31097
235,1970-08-24,97.34725
236,1970-08-25,97.38725
237,1970-08-26,97.31282
238,1970-08-27,97.29504
239,1970-08-28,97.33438000000001
240,1970-08-29,97.41788000000001
241,1970-08-30,97.21264000000001
242,1970-08-31,96.67918
243,1970-09-01,96.26510999999999
244,1970-09-02,96.23066999999999
245,1970-09-03,96.62144
246,1970-09-04,97.18661
247,1970-09-05,97.80122
248,1970-09-06,98.31918
249,1970-09-07,98.53934
250,1970-09-08,98.43086
251,1970-09-09,98.06403
252,1970-09-10,97.91623
253,1970-09-11,97.82176
254,1970-09-12,97.92107
255,1970-09-13,98.23257
256,1970-09-14,98.5068
257,1970-09-15,98.60029
258,1970-09-16,98.65423
259,1970-09-17,98.62931999999999
260,1970-09-18,98.36801
261,1970-09-19,97.97944
262,1970-09-20,97.62455
263,1970-09-21,97.57943
264,1970-09-22,97.68431
265,1970-09-23,97.59772
266,1970-09-24,97.46979
267,1970-09-25,97.50615
268,1970-09-26,97.57327
269,1970-09-27,97.56855
270,1970-09-28,97.58555
271,1970-09-29,97.70959
272,1970-09-30,97.96596
273,1970-10-01,98.19582
274,1970-10-02,98.25284
275,1970-10-03,98.24951999999999
276,1970-10-04,98.34921999999999
277,1970-10-05,98.74618000000001
278,1970-10-06,99.39166
279,1970-10-07,100.0848
280,1970-10-08,100.5471
281,1970-10-09,100.6936
282,1970-10-10,100.6581
283,1970-10-11,100.5189
284,1970-10-12,100.4044
285,1970-10-13,100.411
286,1970-10-14,100.602
287,1970-10-15,100.9308
288,1970-10-16,101.2593
289,1970-10-17,101.3892
290,1970-10-18,101.4184
291,1970-10-19,101.29799999999999
292,1970-10-20,101.2209
293,1970-10-21,101.1731
294,1970-10-22,101.2431
295,1970-10-23,101.3677
296,1970-10-24,101.39
297,1970-10-25,101.2249
298,1970-10-26,101.0461
299,1970-10-27,100.9168
300,1970-10-28,100.8988
301,1970-10-29,100.8566
302,1970-10-30,100.8355
303,1970-10-31,100.8366
304,1970-11-01,100.8376
305,1970-11-02,100.8968
306,1970-11-03,100.8268
307,1970-11-04,100.6807
308,1970-11-05,100.5322
309,1970-11-06,100.4358
310,1970-11-07,100.5402
311,1970-11-08,100.7551
312,1970-11-09,100.9372
313,1970-11-10,101.024
314,1970-11-11,101.0487
315,1970-11-12,101.0883
316,1970-11-13,101.1465
317,1970-11-14,101.2411
318,1970-11-15,101.1838
319,1970-11-16,101.0079
320,1970-11-17,100.84
321,1970-11-18,100.7503
322,1970-11-19,100.5727
323,1970-11-20,100.4236
324,1970-11-21,100.3921
325,1970-11-22,100.4216
326,1970-11-23,100.493
327,1970-11-24,100.5711
328,1970-11-25,100.6033
329,1970-11-26,100.67399999999999
330,1970-11-27,100.7746
331,1970-11-28,100.7791
332,1970-11-29,100.5999
333,1970-11-30,100.2635
334,1970-12-01,99.99741
335,1970-12-02,100.0672
336,1970-12-03,100.3222
337,1970-12-04,100.5555
338,1970-12-05,100.7135
339,1970-12-06,100.756
340,1970-12-07,100.8458
341,1970-12-08,100.912
342,1970-12-09,100.9779
343,1970-12-10,101.0836
344,1970-12-11,101.0687
345,1970-12-12,100.9316
346,1970-12-13,100.8323
347,1970-12-14,100.8583
348,1970-12-15,100.9958
349,1970-12-16,100.9761
350,1970-12-17,100.8349
351,1970-12-18,100.6417
352,1970-12-19,100.5135
353,1970-12-20,100.4821
354,1970-12-21,100.53
355,1970-12-22,100.6098
356,1970-12-23,100.7593
357,1970-12-24,100.7424
358,1970-12-25,100.6204
359,1970-12-26,100.5474
360,1970-12-27,100.5449
361,1970-12-28,100.5271
362,1970-12-29,100.5949
363,1970-12-30,100.6465
364,1970-12-31,100.5188
365,1971-01-01,100.2381
366,1971-01-02,99.7638
367,1971-01-03,99.00285
368,1971-01-04,98.2718
369,1971-01-05,97.68751999999999
370,1971-01-06,97.48004
371,1971-01-07,97.54311
372,1971-01-08,97.88566999999999
373,1971-01-09,98.51059000000001
374,1971-01-10,99.22321
375,1971-01-11,99.42449
376,1971-01-12,99.40772
377,1971-01-13,99.47198
378,1971-01-14,99.5324
379,1971-01-15,99.49725
380,1971-01-16,99.30043
381,1971-01-17,98.83209000000001
382,1971-01-18,98.25163
383,1971-01-19,97.9101
384,1971-01-20,97.86216999999999
385,1971-01-21,98.10311999999999
386,1971-01-22,98.53542
387,1971-01-23,98.87885
388,1971-01-24,99.07436
389,1971-01-25,99.08013000000001
390,1971-01-26,98.9082
391,1971-01-27,98.75822
392,1971-01-28,98.7479
393,1971-01-29,99.00504000000001
394,1971-01-30,99.61964
395,1971-01-31,100.1198
396,1971-02-01,100.2506
397,1971-02-02,100.1365
398,1971-02-03,99.95221
399,1971-02-04,99.72414
400,1971-02-05,99.43281
401,1971-02-06,99.20626
402,1971-02-07,98.99577
403,1971-02-08,98.9418
404,1971-02-09,99.06185
405,1971-02-10,99.33921
406,1971-02-11,99.67264
407,1971-02-12,100.1565
408,1971-02-13,100.5732
409,1971-02-14,100.72200000000001
410,1971-02-15,100.7113
411,1971-02-16,100.6819
412,1971-02-17,100.6201
413,1971-02-18,100.515
414,1971-02-19,100.4432
415,1971-02-20,100.4887
416,1971-02-21,100.5586
417,1971-02-22,100.6517
418,1971-02-23,100.7648
419,1971-02-24,100.9394
420,1971-02-25,101.0207
421,1971-02-26,100.8892
422,1971-02-27,100.6704
423,1971-02-28,100.5756
424,1971-03-01,100.56299999999999
425,1971-03-02,100.6887
426,1971-03-03,100.8048
427,1971-03-04,100.7712
428,1971-03-05,100.5367
429,1971-03-06,100.3817
430,1971-03-07,100.3047
431,1971-03-08,100.3285
432,1971-03-09,100.3446
433,1971-03-10,100.415
434,1971-03-11,100.5583
435,1971-03-12,100.5866
436,1971-03-13,100.5662
437,1971-03-14,100.67299999999999
438,1971-03-15,100.83
439,1971-03-16,100.9482
440,1971-03-17,101.0375
441,1971-03-18,101.1577
442,1971-03-19,101.26
443,1971-03-20,101.275
444,1971-03-21,101.3249
445,1971-03-22,101.4409
446,1971-03-23,101.5715
447,1971-03-24,101.7336
448,1971-03-25,101.9167
449,1971-03-26,102.0836
450,1971-03-27,102.1959
451,1971-03-28,102.1985
452,1971-03-29,102.2092
453,1971-03-30,102.2024
454,1971-03-31,102.1843
455,1971-04-01,102.1532
456,1971-04-02,102.3034
457,1971-04-03,102.4639
458,1971-04-04,102.4714
459,1971-04-05,102.4503
460,1971-04-06,102.3529
461,1971-04-07,102.2358
462,1971-04-08,102.1019
463,1971-04-09,101.9127
464,1971-04-10,101.676
465,1971-04-11,101.5422
466,1971-04-12,101.6341
467,1971-04-13,101.7747
468,1971-04-14,102.0103
469,1971-04-15,102.2151
470,1971-04-16,102.2498
471,1971-04-17,102.245
472,1971-04-18,102.2879
473,1971-04-19,102.2988
474,1971-04-20,102.2442
475,1971-04-21,102.1837
476,1971-04-22,102.1736
477,1971-04-23,102.1533
478,1971-04-24,102.2692
479,1971-04-25,102.4301
480,1971-04-26,102.6559
481,1971-04-27,102.7076
482,1971-04-28,102.6285
483,1971-04-29,102.6103
484,1971-04-30,102.5856
485,1971-05-01,102.4888
486,1971-05-02,102.4561
487,1971-05-03,102.4219
488,1971-05-04,102.3732
489,1971-05-05,102.2665
490,1971-05-06,102.0194
491,1971-05-07,101.5009
492,1971-05-08,100.98700000000001
493,1971-05-09,100.6114
494,1971-05-10,100.4493
495,1971-05-11,100.4169
496,1971-05-12,100.5376
497,1971-05-13,100.6152
498,1971-05-14,100.5307
499,1971-05-15,100.2345
500,1971-05-16,99.8077
501,1971-05-17,99.65382
502,1971-05-18,99.79896
503,1971-05-19,100.1502
504,1971-05-20,100.4898
505,1971-05-21,100.6933
506,1971-05-22,100.8773
507,1971-05-23,100.9291
508,1971-05-24,100.9035
509,1971-05-25,100.6572
510,1971-05-26,100.3275
511,1971-05-27,100.0557
512,1971-05-28,99.81794000000001
513,1971-05-29,99.63846
514,1971-05-30,99.65324
515,1971-05-31,99.65075
516,1971-06-01,99.47523000000001
517,1971-06-02,99.31954
518,1971-06-03,99.40132
519,1971-06-04,99.82826
520,1971-06-05,100.2492
521,1971-06-06,100.4028
522,1971-06-07,100.405
523,1971-06-08,100.3171
524,1971-06-09,100.2822
525,1971-06-10,100.4281
526,1971-06-11,100.7156
527,1971-06-12,101.0139
528,1971-06-13,101.2888
529,1971-06-14,101.177
530,1971-06-15,101.0119
531,1971-06-16,100.8435
532,1971-06-17,100.7663
533,1971-06-18,100.9021
534,1971-06-19,101.0117
535,1971-06-20,100.9874
536,1971-06-21,100.8704
537,1971-06-22,100.7826
538,1971-06-23,100.8458
539,1971-06-24,100.9794
540,1971-06-25,100.9649
541,1971-06-26,100.8117
542,1971-06-27,100.5859
543,1971-06-28,100.4004
544,1971-06-29,100.4673
545,1971-06-30,100.7135
546,1971-07-01,100.6215
547,1971-07-02,100.0395
548,1971-07-03,99.33213
549,1971-07-04,99.10257
550,1971-07-05,99.48301
551,1971-07-06,100.0507
552,1971-07-07,100.3068
553,1971-07-08,100.2589
554,1971-07-09,100.1297
555,1971-07-10,99.88211
556,1971-07-11,99.60465
557,1971-07-12,99.58421
558,1971-07-13,99.61979000000001
559,1971-07-14,99.71648
560,1971-07-15,100.0267
561,1971-07-16,100.4398
562,1971-07-17,100.6671
563,1971-07-18,100.7806
564,1971-07-19,100.8121
565,1971-07-20,100.5926
566,1971-07-21,100.3253
567,1971-07-22,100.1541
568,1971-07-23,100.0947
569,1971-07-24,100.0547
570,1971-07-25,100.03200000000001
571,1971-07-26,99.80653000000001
572,1971-07-27,99.55558
573,1971-07-28,99.26588000000001
574,1971-07-29,98.98473
575,1971-07-30,98.81931999999999
576,1971-07-31,98.66032
577,1971-08-01,98.27767
578,1971-08-02,97.81635
579,1971-08-03,97.29633000000001
580,1971-08-04,96.92296999999999
581,1971-08-05,96.80556
582,1971-08-06,97.00549000000001
583,1971-08-07,97.25879
584,1971-08-08,97.33366
585,1971-08-09,96.98624000000001
586,1971-08-10,96.73364000000001
587,1971-08-11,96.7263
588,1971-08-12,96.73339
589,1971-08-13,96.70776
590,1971-08-14,96.90652
591,1971-08-15,97.34761999999999
592,1971-08-16,97.72716
593,1971-08-17,97.88429000000001
594,1971-08-18,97.83979000000001
595,1971-08-19,97.88279
596,1971-08-20,98.05784
597,1971-08-21,98.08700999999999
598,1971-08-22,98.10083
599,1971-08-23,98.27221999999999
600,1971-08-24,98.43108000000001
601,1971-08-25,98.48524
602,1971-08-26,98.4822
603,1971-08-27,98.46212
604,1971-08-28,98.46088
605,1971-08-29,98.36747
606,1971-08-30,98.08792
607,1971-08-31,97.91743000000001
608,1971-09-01,97.8675
609,1971-09-02,97.96423
610,1971-09-03,98.21693
611,1971-09-04,98.46327
612,1971-09-05,98.5696
613,1971-09-06,98.52141999999999
614,1971-09-07,98.28220999999999
615,1971-09-08,98.22485
616,1971-09-09,98.20944
617,1971-09-10,97.90771
618,1971-09-11,97.34119
619,1971-09-12,96.85764
620,1971-09-13,96.79166
621,1971-09-14,97.01916
622,1971-09-15,97.45293000000001
623,1971-09-16,97.98949
624,1971-09-17,98.44693000000001
625,1971-09-18,98.70195
626,1971-09-19,98.82484000000001
627,1971-09-20,98.85928
628,1971-09-21,98.80396
629,1971-09-22,98.60139000000001
630,1971-09-23,98.53001
631,1971-09-24,98.69832
632,1971-09-25,99.01172
633,1971-09-26,99.23647
634,1971-09-27,99.15087
635,1971-09-28,98.81996
636,1971-09-29,98.69274
637,1971-09-30,98.79479
638,1971-10-01,98.96009000000001
639,1971-10-02,99.1703
640,1971-10-03,99.5056
641,1971-10-04,99.67896
642,1971-10-05,99.64159000000001
643,1971-10-06,99.36323
644,1971-10-07,98.9855
645,1971-10-08,98.75199
646,1971-10-09,98.85159
647,1971-10-10,99.15264
648,1971-10-11,99.32401
649,1971-10-12,99.39349
650,1971-10-13,99.42548000000001
651,1971-10-14,99.49786999999999
652,1971-10-15,99.48437
653,1971-10-16,99.45818
654,1971-10-17,99.45006
655,1971-10-18,99.54417
656,1971-10-19,99.74679
657,1971-10-20,100.0317
658,1971-10-21,100.3812
659,1971-10-22,100.7687
660,1971-10-23,101.0298
661,1971-10-24,101.0321
662,1971-10-25,100.9367
663,1971-10-26,100.8826
664,1971-10-27,100.8032
665,1971-10-28,100.8171
666,1971-10-29,100.7038
667,1971-10-30,100.5166
668,1971-10-31,100.3479
669,1971-11-01,100.3768
670,1971-11-02,100.4919
671,1971-11-03,100.5878
672,1971-11-04,100.6007
673,1971-11-05,100.5639
674,1971-11-06,100.5245
675,1971-11-07,100.5463
676,1971-11-08,100.6672
677,1971-11-09,100.6454
678,1971-11-10,100.5005
679,1971-11-11,100.3958
680,1971-11-12,100.3769
681,1971-11-13,100.4529
682,1971-11-14,100.7781
683,1971-11-15,101.1115
684,1971-11-16,101.2579
685,1971-11-17,101.2457
686,1971-11-18,101.2155
687,1971-11-19,101.1764
688,1971-11-20,101.1061
689,1971-11-21,101.0015
690,1971-11-22,100.961
691,1971-11-23,101.0563
692,1971-11-24,101.1756
693,1971-11-25,101.3234
694,1971-11-26,101.3036
695,1971-11-27,101.22200000000001
696,1971-11-28,101.251
697,1971-11-29,101.4086
698,1971-11-30,101.5066
699,1971-12-01,101.4576
700,1971-12-02,101.3743
701,1971-12-03,101.3166
702,1971-12-04,101.28200000000001
703,1971-12-05,101.2865
704,1971-12-06,101.3644
705,1971-12-07,101.3662
706,1971-12-08,101.3337
707,1971-12-09,101.3239
